source_case_id,modality,generated_zero_fraction,reference_zero_fraction,generated_largest_zero_component_fraction,reference_largest_zero_component_fraction,generated_boundary_gradient,reference_boundary_gradient,boundary_gradient_ratio,generated_laplacian,reference_laplacian,laplacian_ratio,generated_z_gradient,reference_z_gradient,z_gradient_ratio,generated_repeated_adjacent_z_slices,reference_repeated_adjacent_z_slices,generated_extreme_zscore_fraction,support_size_x,support_size_y,support_size_z,artifact_flag_count,artifact_flags
BraTS-MET-00300-000,t1c,0.0,0.23367642195767196,0.0,0.23367642195767196,8.31167161331437,8.950233072678378,0.9286542088704606,0.793875515460968,0.6597034931182861,1.2033823130274446,0.28223792489837196,0.21888084709644318,1.2894592132769498,0,0,2.066798941798942e-06,64,90,84,1,large_tiled_support
BraTS-MET-00300-000,t1n,0.0,0.23624545304232805,0.0,0.23624338624338626,8.623472354807674,8.957991136334897,0.962656942116144,0.6767235994338989,0.4913095235824585,1.3773875061477852,0.23123418587972136,0.13661352203172797,1.692615653566256,0,0,0.0,64,90,84,1,large_tiled_support
BraTS-MET-00300-000,t2w,0.0,0.24889839616402115,0.0,0.24889632936507936,7.965901332614887,8.172051457362025,0.9747737608086863,0.5175085663795471,0.32956039905548096,1.5702996108231602,0.1964378329760888,0.11479426880421884,1.7112163788517416,0,0,0.0,64,90,84,1,large_tiled_support
BraTS-MET-00300-000,t2f,0.0,0.22468998015873015,0.0,0.22468998015873015,8.038989450924243,7.104544560677861,1.131527768214494,0.5808289051055908,0.34398818016052246,1.6885141368361738,0.19246413129217485,0.1033948795760379,1.861447414817426,0,0,0.0003348214285714286,64,90,84,1,large_tiled_support
BraTS-MET-00380-000,t1c,3.3320227377231622e-06,0.1680638948680186,3.3320227377231622e-06,0.16723088918358778,9.138440623962135,9.216623323929685,0.9915172078515393,0.8567847013473511,0.4807199239730835,1.7822949676521505,0.2970930873563415,0.15768840618823704,1.8840515579927493,0,0,0.000369854523887271,69,159,107,1,large_tiled_support
BraTS-MET-00380-000,t1n,0.0,0.1680638948680186,0.0,0.16723088918358778,11.581690042830019,10.3900664817812,1.114688733045001,0.6895315647125244,0.5209935307502747,1.3234935253793665,0.2621387863629743,0.16235402206841268,1.614612209930434,0,0,0.0,69,159,107,1,large_tiled_support
BraTS-MET-00380-000,t2w,0.0,0.1680638948680186,0.0,0.16723088918358778,9.462435277479612,10.61323567511987,0.8915693165715685,0.5070202350616455,0.4235698878765106,1.1970167133539587,0.1819817530481439,0.16327464611906756,1.1145744754236628,0,0,0.0,69,159,107,1,large_tiled_support
BraTS-MET-00380-000,t2f,0.0,0.1680638948680186,0.0,0.16723088918358778,10.40150427676088,8.620699870472242,1.2065730663456082,0.6488792300224304,0.4659011662006378,1.3927400854433452,0.20263992602887906,0.16550183398158927,1.2243968610729783,0,0,0.0030554648504921397,69,159,107,2,extreme_zscore_signal;large_tiled_support
BraTS-MET-00532-000,t1c,0.0,0.2675153918397162,0.0,0.2675153918397162,11.243652616647397,9.473381395122788,1.18686793529035,0.6439292430877686,0.9409751296043396,0.6843212140564516,0.23765373896611364,0.2753354805080514,0.8631424418225828,0,0,0.0,35,37,37,0,
BraTS-MET-00532-000,t1n,0.0,0.2675153918397162,0.0,0.2675153918397162,13.721107122534871,11.287039071744752,1.215651601391494,0.5934188365936279,0.7321431636810303,0.810522949651088,0.2108469256444981,0.22652063087413185,0.9308067209191954,0,0,0.0,35,37,37,0,
