source_case_id,modality,case_seed,support_voxels,tumour_voxels,support_voxel_count,support_mse,support_mae,support_psnr,support_ssim,support_contrast_reference,support_contrast_generated,support_contrast_abs_error,tumour_voxel_count,tumour_mse,tumour_mae,tumour_psnr,tumour_ssim,tumour_contrast_reference,tumour_contrast_generated,tumour_contrast_abs_error,artifact_flag_count,artifact_flags
BraTS-MET-00129-000,t2f,1289476052,841920,176477,841920,1.5709267154163777,0.9009995460765003,13.601465753279758,0.15835131594831084,-0.08583486825227737,0.3236761689186096,0.409511037170887,176477,3.5139552737422357,1.4639994983656983,10.105062713514831,0.6721018037485962,0.9402298014611006,2.203950459137559,1.2637206576764584,1,large_tiled_support
BraTS-MET-00133-000,t1c,909294578,553380,82996,553380,1.4263242162415897,0.8001216426515698,14.020842450128018,0.7375738195901892,-0.046310167759656906,0.0827052965760231,0.12901546433568,82996,2.595923355676072,1.0875933312421475,11.420106349418568,0.9319411142509653,0.5239832932129502,0.5198158340062946,0.0041674592066556215,2,extreme_zscore_signal;large_tiled_support
BraTS-MET-00133-000,t1n,1840906416,553380,82996,553380,1.7593891213967099,0.9627786254557322,13.10940598441144,0.7345742939149881,-0.059429846704006195,0.07151228934526443,0.13094213604927063,82996,1.2508669501916199,0.8642567198203549,14.590913828169159,0.9283156538356663,0.06489577703177929,0.0962399949785322,0.031344217946752906,1,large_tiled_support
BraTS-MET-00133-000,t2w,844555215,553380,82996,553380,1.496697887218314,0.8598415143567331,13.811683551705634,0.7330570839090919,-0.0042723859660327435,0.11765861511230469,0.12193100107833743,82996,1.1526149495756486,0.8226850490019469,14.946182526257967,0.9268782889449757,0.4046988836489618,0.3750635788310319,0.029635304817929864,1,large_tiled_support
BraTS-MET-00133-000,t2f,779463800,553380,82996,553380,1.5423417557280938,0.9074253469150217,13.681218843923379,0.7350049491172844,-0.011651762761175632,0.2727111577987671,0.2843629205599427,82996,1.6935431759520898,0.9833727444024555,13.275062275464744,0.9477500177781337,1.117036790587008,1.5080471963156015,0.39101040572859347,1,large_tiled_support
BraTS-MET-00137-000,t1c,184384102,16746,200,16746,1.4398138108588816,0.9004832613972981,13.979961657169033,0.5717774995400013,-0.006850051693618298,-0.026205837726593018,0.01935578603297472,200,1.9015198521148904,1.069691907762317,12.772016369050686,0.9284629323358592,1.1171412122712354,0.40219770784460707,0.7149435044266284,1,large_tiled_support
BraTS-MET-00137-000,t1n,15515232,16746,200,16746,2.099279574572248,1.105613406816594,12.34232220541885,0.6109606920587972,-0.005673339124768972,0.04248881712555885,0.048162156250327826,200,1.7189172564065855,1.0872168257739394,13.21047529229114,0.9350652654035174,0.4285530207998818,-0.4899122826755047,0.9184653034753865,1,large_tiled_support
BraTS-MET-00137-000,t2w,1137427380,16746,200,16746,1.5114385987905028,0.9710034414352364,13.76911991825802,0.5720140595203215,0.008984478190541267,-0.006511401850730181,0.015495880041271448,200,1.8195109842729926,1.1725576568651013,12.963478190287379,0.9152139168030151,0.23740969589380256,-0.38084722938469895,0.6182569252785015,1,large_tiled_support
BraTS-MET-00137-000,t2f,180947387,16746,200,16746,1.6601975671488043,0.9596255424688638,13.361427276567523,0.6010589651370715,0.003466301830485463,0.10434769839048386,0.10088139655999839,200,0.8279890453050511,0.7614668800018262,16.382779098701363,0.9482678480302152,0.5912099550005223,0.04131422446516808,0.5498957305353542,1,large_tiled_support
BraTS-MET-00147-000,t1c,254803587,86218,17921,86218,1.5841058063831126,0.9253868260171971,13.565183149319271,0.5408202394985401,2.0494186969699513e-07,0.12333846092224121,0.12333825598037151,17921,2.2753552923083014,1.0422206700884804,11.992532802394782,0.8010008607971862,0.36923026328440756,0.4107166805770248,0.04148641729261726,1,large_tiled_support
BraTS-MET-00147-000,t1n,2107729233,86218,17921,86218,2.0452138985679715,1.0892114800263182,12.4556376538731,0.5421133875291795,-2.6051333179566427e-07,0.11089150607585907,0.11089176658919087,17921,1.4621031066726382,0.9089448190896511,13.913245008677066,0.8149840128615117,0.26786531967809424,0.4418073965207441,0.17394207684264984,1,large_tiled_support
