source_case_id,modality,case_seed,support_voxels,tumour_voxels,support_voxel_count,support_mse,support_mae,support_psnr,support_ssim,support_contrast_reference,support_contrast_generated,support_contrast_abs_error,tumour_voxel_count,tumour_mse,tumour_mae,tumour_psnr,tumour_ssim,tumour_contrast_reference,tumour_contrast_generated,tumour_contrast_abs_error
BraTS-MET-01105-001,t2w,794328401,202395,21653,202395,1.479172925330867,0.8558531963060274,13.862835518367056,0.8169395194616438,0.06446041911840439,0.09174875169992447,0.02728833258152008,21653,3.2630925169095097,1.3987164201142699,10.426731134600494,0.9587844391833562,1.4572111118613975,0.3873915385993314,1.0698195732620661
BraTS-MET-01105-001,t2f,730303723,202395,21653,202395,1.6444344692843897,0.9277581793475262,13.402859292394227,0.8161478703501867,0.0329638235270977,0.13141466677188873,0.09845084324479103,21653,1.6281006822942732,1.0008588540726335,13.446212424666895,0.9644432600957743,0.5671238699214882,0.6724404187261825,0.10531654880469432
BraTS-MET-01105-002,t1c,1493251654,133668,13962,133668,1.4906584261329308,0.859498846251436,13.82924361432524,0.8405219887295153,-5.99310538973441e-08,0.026744293048977852,0.02674435298003175,13962,1.9844204905507603,1.045917014227086,12.58668797981056,0.9621978499860608,-0.4947974918104592,-0.055335270255454816,0.43946222155500436
BraTS-MET-01105-002,t1n,1399668600,133668,13962,133668,1.8400970294198682,0.9500921759566289,12.914617765454707,0.8502008028454224,7.543322340097802e-07,-0.0003308413433842361,0.0003315956756182459,13962,1.1108964720717571,0.8506668524762498,15.10628913206213,0.9638534737540039,-0.044080432150167326,0.012832636165285294,0.05691306831545262
BraTS-MET-01105-002,t2w,725682634,133668,13962,133668,1.321517610801164,0.7873106856169433,14.352295457681121,0.8466178284035196,-1.2465659438021248e-07,0.03334477171301842,0.0333448963696128,13962,3.6317913154736297,1.450745945996947,9.96181614977174,0.9626418998540511,1.4524011086614337,0.25052502310154523,1.2018760855598885
BraTS-MET-01105-002,t2f,1012999283,133668,13962,133668,1.6116711043817922,0.8955026019444873,13.49026081242156,0.8428473247774325,2.0456467098028952e-07,0.11142125725746155,0.11142105269279057,13962,1.9573703180817636,1.0438498773891758,12.646295024547491,0.9685735484946955,0.7308687461627414,0.47373569430055795,0.2571330518621835
BraTS-MET-01119-001,t1c,231169235,302422,62127,302422,1.7555845668024979,0.9652007828191194,13.118807464241387,0.9390422355413592,-0.005154480691999197,0.08690155297517776,0.09205603366717696,62127,2.3473188244153462,1.092794310284484,11.857304191446447,0.9812906951898998,0.0868839243412367,0.3765373297028418,0.2896534053616051
BraTS-MET-01119-001,t1n,1297321442,302422,62127,302422,1.9279483940374382,1.0425302474268743,12.71207095933218,0.9411193744081655,0.0018546136561781168,-0.05938989296555519,0.06124450662173331,62127,1.3547702630715377,0.8923057177527208,14.244368453645757,0.9819998788887764,0.3451969577145064,-0.157479795794643,0.5026767535091494
BraTS-MET-01119-001,t2w,1997140433,302422,62127,302422,1.692397535618037,0.9721429725766676,13.278001165047845,0.9414676701312091,-0.004734007176011801,0.0640704333782196,0.0688044405542314,62127,1.373269579215542,0.9318570294571533,14.18546701131671,0.9810957798895429,0.4260499570227694,0.2364055141370045,0.18964444288576487
BraTS-MET-01119-001,t2f,997192916,302422,62127,302422,1.501633830756043,0.916517117758718,13.797384566939808,0.9415444408814356,0.005710661876946688,0.33846229314804077,0.3327516312710941,62127,0.7964100654983776,0.6991190302670901,16.55165760508376,0.9868219595630363,1.0364131903043017,0.9515277967730071,0.08488539353129454
BraTS-MET-01134-003,t1c,1234415487,1573,23,1573,2.1374885573082607,0.8647540068378468,12.26398702284589,0.08232066715932902,8.245372384863003e-08,-0.1721339076757431,0.17213399012946695,23,0.47273852302639086,0.5593255374722345,18.81681506765411,0.5386095898491996,-0.1511271484168617,-0.5571809952343756,0.4060538468175139
BraTS-MET-01134-003,t1n,248654651,1573,23,1573,1.7240562554607,0.900890447954046,13.197510681431181,0.10297225887035123,1.2610568944637635e-07,0.3153745234012604,0.31537439729557093,23,1.0468345547599935,0.8561346236130466,15.364244510200159,0.13763122792754853,-0.3714347098861026,0.4109949641824642,0.7824296740685668
BraTS-MET-01134-003,t2w,1244038823,1573,23,1573,1.080113046326981,0.7450757375862452,15.228332889593032,0.20626503605193436,-1.8915854127499188e-07,-0.22914524376392365,0.22914505460538237,23,3.9423157017710877,1.872873300443525,9.605511010046953,0.0061762804398313165,1.6733051654327937,-0.19952951314553502,1.8728346785783287
BraTS-MET-01134-003,t2f,699812919,1573,23,1573,1.7203341217531434,0.8962521514480213,13.206896973821433,0.15893478425832241,-1.2610568944637635e-07,0.713320255279541,0.7133203813852305,23,0.218647069359959,0.3898304927608241,22.165588401215267,0.8383214133126395,0.6177052179492648,0.9815762128273491,0.3638709948780843
BraTS-MET-01172-004,t1c,701066572,53020,4226,53020,1.4897173388660565,0.850079679443549,13.831986282047719,0.8578920036029692,7.367502519173286e-08,0.08597288280725479,0.0859728091322296,4226,1.3048998330241615,0.840691863209913,14.407253252113676,0.9666129464726708,-0.44531568238016916,-0.024096319917589426,0.42121936246257974
BraTS-MET-01172-004,t1n,587775557,53020,4226,53020,2.0079716799524494,1.0659326389098653,12.535449174572095,0.8613246076133003,-2.417461928416742e-07,-0.010538697242736816,0.010538455496543975,4226,0.7442552078027765,0.6533352494911839,16.845806185340532,0.9684473000617219,0.07368264550314052,0.05833987836740562,0.015342767135734903
BraTS-MET-01172-004,t2w,1092617236,53020,4226,53020,1.2359086155076897,0.8250215537519806,14.643161410565497,0.8606528306017984,-1.9569929676777065e-08,0.1518985480070114,0.1518985675769411,4226,0.7656489189574185,0.6843829560036903,16.72272827102796,0.9771445224174174,0.7584848999686074,0.5689841583662201,0.18950074160238728
BraTS-MET-01172-004,t2f,14875205,53020,4226,53020,1.7205594341815496,0.9629046433776742,13.206328214905124,0.8583328568347203,9.66984714523278e-08,-0.11351916193962097,0.11351925863809242,4226,2.5736249040404657,1.217418766135714,11.45757250341892,0.9663689428634011,0.5355932847451186,-0.4080225275538396,0.9436158122989582
BraTS-MET-01180-000,t1c,2058509759,47970,8036,47970,1.530840667071155,0.9298381702172976,13.713725099467268,0.049886668521760595,1.0178887954737093e-08,-0.07717601954936981,0.07717602972825777,8036,1.931828304687168,1.0359279207470151,12.703339758102006,0.41622633807021686,-0.12085037852739333,-0.16027881905029062,0.03942844052289729
BraTS-MET-01180-000,t1n,1773770279,47970,8036,47970,1.7373053062521755,0.974254715443148,13.164263546464444,0.07167625272495126,-4.071555181894837e-08,-0.0454656146466732,0.045465573931121384,8036,2.2549841218097733,1.1009178074140433,12.031590125731197,0.5122898116506157,0.48118757155316416,-0.431779879181704,0.9129674507348682
BraTS-MET-01180-000,t2w,1442395624,47970,8036,47970,1.3304083144012036,0.8415555704879396,14.323175504192642,0.1268310253891092,-1.0560596308550885e-07,0.107292540371418,0.10729264597738108,8036,2.717796071590476,1.251587689913153,11.220856342080413,0.515327518133116,1.2368719284422696,0.6154082773864502,0.6214636510558194
BraTS-MET-01180-000,t2f,1837999806,47970,8036,47970,1.3429570455996525,0.910683597447054,14.282403787593154,0.07395639435195116,2.137566497140142e-07,0.17545709013938904,0.17545687638273932,8036,2.7552237311708168,1.3392950135958936,11.161456303316513,0.5572084142500081,1.6668132842169143,0.6756439087766921,0.9911693754402222
BraTS-MET-01181-001,t1c,1998772618,565779,104617,565779,1.6578506395975237,0.8997491007372453,13.367570995955658,0.6600434377751272,0.0458257794380188,0.07543430477380753,0.029608525335788727,104617,2.60987670770241,1.1112899543658408,11.39682509302278,0.8940621967621463,-0.4016308020800352,0.13039613037835807,0.5320269324583933
BraTS-MET-01181-001,t1n,2136822945,565779,104617,565779,1.6210721136108808,0.9712471994573194,13.46500165840635,0.6661640024368338,0.09449174255132675,0.04595615714788437,0.04853558540344238,104617,2.039346477659351,1.1142323796954101,12.468114836441767,0.8947952614512233,0.03555605374276638,0.32335728147882037,0.287801227736054
