model,subject_id,all_instance_tp_et,all_instance_fp_et,all_instance_fn_et,all_instance_f1_et,large_instance_tp_et,large_instance_fp_et,large_instance_fn_et,large_instance_f1_et,lesionwise_dsc_mean_et,lesionwise_dsc_std_et,lesionwise_hd95_mean_et,lesionwise_hd95_std_et,lesionwise_nsd_mean_et,lesionwise_nsd_std_et,small_instance_tp_et,small_instance_fn_et,small_instance_fp_et,small_instance_f1_et,all_instance_tp_rc,all_instance_fp_rc,all_instance_fn_rc,all_instance_f1_rc,large_instance_tp_rc,large_instance_fp_rc,large_instance_fn_rc,large_instance_f1_rc,lesionwise_dsc_mean_rc,lesionwise_dsc_std_rc,lesionwise_hd95_mean_rc,lesionwise_hd95_std_rc,lesionwise_nsd_mean_rc,lesionwise_nsd_std_rc,small_instance_tp_rc,small_instance_fn_rc,small_instance_fp_rc,small_instance_f1_rc,all_instance_tp_tc,all_instance_fp_tc,all_instance_fn_tc,all_instance_f1_tc,large_instance_tp_tc,large_instance_fp_tc,large_instance_fn_tc,large_instance_f1_tc,lesionwise_dsc_mean_tc,lesionwise_dsc_std_tc,lesionwise_hd95_mean_tc,lesionwise_hd95_std_tc,lesionwise_nsd_mean_tc,lesionwise_nsd_std_tc,small_instance_tp_tc,small_instance_fn_tc,small_instance_fp_tc,small_instance_f1_tc,all_instance_tp_wt,all_instance_fp_wt,all_instance_fn_wt,all_instance_f1_wt,large_instance_tp_wt,large_instance_fp_wt,large_instance_fn_wt,large_instance_f1_wt,lesionwise_dsc_mean_wt,lesionwise_dsc_std_wt,lesionwise_hd95_mean_wt,lesionwise_hd95_std_wt,lesionwise_nsd_mean_wt,lesionwise_nsd_std_wt,small_instance_tp_wt,small_instance_fn_wt,small_instance_fp_wt,small_instance_f1_wt
completion_focal,BraTS-MET-00019-000.nii.gz,5,1,4,0.6666666666666666,5,1,1,0.8333333333333334,0.6117604829517942,0.39126473835949677,107.65793589649486,167.81936797365682,0.6845997976277337,0.4342654131544071,0,3,1,0,0,0,0,,0,0,0,0,,,,,,,,,,,5,1,4,0.6666666666666666,5,1,1,0.8333333333333334,0.6279482988858173,0.40206930026603666,107.28571428571429,168.05246994037674,0.7062397325229925,0.4469102105027293,0,3,1,0,3,1,2,0.6666666666666666,3,1,0,0.8571428571428571,0.6268211532504119,0.36810716054719766,94.74202969626717,160.65241301963573,0.6525625559649635,0.3769030442634139,0,2,1,0
completion_focal,BraTS-MET-00022-000.nii.gz,21,2,14,0.7241379310344828,20,2,13,0.7272727272727273,0.4598929558208823,0.40613169736346555,161.260280831529,183.40285586768306,0.5195667717647235,0.4567352733843442,1,1,2,0.4,0,0,0,,0,0,0,0,,,,,,,,,,,21,2,14,0.7241379310344828,20,2,13,0.7272727272727273,0.4769094644215016,0.4215043201490639,161.13784669789868,183.50996879537308,0.5300107363602153,0.4687626337573095,1,1,2,0.4,20,3,11,0.7407407407407407,20,3,10,0.7547169811320755,0.38418334373458013,0.3360467291137588,149.07955372182246,180.5695046108338,0.3822454738807018,0.3508110670392422,0,1,3,0
completion_focal,BraTS-MET-00025-000.nii.gz,2,1,0,0.8,2,1,0,0.8,0.5208441017950267,0.38579711975646014,125.4120226591666,175.0718649751296,0.6037043814368271,0.4296109590207175,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,2,1,0,0.8,2,1,0,0.8,0.5599133093672287,0.4078686404610316,125.48316324759439,175.0218340894765,0.5679627011061948,0.41039289025965764,,,,,2,1,0,0.8,2,1,0,0.8,0.6008403467913296,0.4282934738379996,125.2440169358563,175.190190617048,0.6001148749315158,0.42660536859884146,,,,
completion_focal,BraTS-MET-00098-000.nii.gz,1,0,0,1,1,0,0,1,0.8026905829596412,0,1,0,0.9778008531656938,0,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,1,0,0,1,1,0,0,1,0.8026905829596412,0,1,0,0.9778008531656938,0,,,,,1,1,0,0.6666666666666666,1,1,0,0.6666666666666666,0.44742592197825626,0.44742592197825626,187.6180339887499,185.3819660112501,0.3907689671162725,0.3907689671162725,,,,
completion_focal,BraTS-MET-00129-000.nii.gz,2,2,10,0.25,2,2,0,0.6666666666666666,0.38864588821789003,0.38873543213139106,187.20710678118655,185.79289321881345,0.45219236418595365,0.45224457143643654,0,10,2,0,0,0,0,,0,0,0,0,,,,,,,,,,,2,0,0,1,2,0,0,1,0.8725566375764393,0.07039836419514439,1.4142135623730951,0,0.8941947519469715,0.030377897625678052,,,,,2,0,0,1,2,0,0,1,0.8737086531687718,0.04356985607690134,2.2071067811865475,0.7928932188134524,0.7756099687537612,0.10449620528205039,,,,
completion_focal,BraTS-MET-00133-000.nii.gz,12,0,3,0.8888888888888888,12,0,1,0.96,0.6707249777691181,0.23174447281607932,31.04722573279291,98.74945260446569,0.7939593708378928,0.25037272084479556,0,2,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,12,0,3,0.8888888888888888,12,0,1,0.96,0.6718599204415701,0.23270178483262563,30.902068990629996,98.79030150050097,0.7966635635411123,0.24873576872503114,0,2,0,0,9,2,3,0.782608695652174,9,2,1,0.8571428571428571,0.560203027189928,0.3455589253263135,95.11940409906475,160.43705608069112,0.5801266147382805,0.34758494674883644,0,2,2,0
completion_focal,BraTS-MET-00137-000.nii.gz,6,1,1,0.8571428571428571,1,1,0,0.6666666666666666,0.2849162011173184,0.2849162011173184,187.93994949366117,185.06005050633883,0.4157608695652174,0.4157608695652174,5,1,1,0.8333333333333334,0,1,0,0,0,1,0,0,,,,,,,,,,,6,1,1,0.8571428571428571,1,1,0,0.6666666666666666,0.2849162011173184,0.2849162011173184,187.93994949366117,185.06005050633883,0.4157608695652174,0.4157608695652174,5,1,1,0.8333333333333334,6,5,1,0.6666666666666666,1,5,0,0.2857142857142857,0.10641627543035993,0.23795402577462554,311.1666666666667,138.263536608737,0.1441434133679429,0.3223144707995722,5,1,5,0.625
completion_focal,BraTS-MET-00147-000.nii.gz,1,0,1,0.6666666666666666,1,0,0,1,0.8397771952817824,0,1.4142135623730951,0,0.9272065503897706,0,0,1,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,1,0,1,0.6666666666666666,1,0,0,1,0.9109785202863961,0,1.4142135623730951,0,0.8820275532184549,0,0,1,0,0,1,0,1,0.6666666666666666,1,0,0,1,0.9058747160012983,0,2,0,0.7848621204325971,0,0,1,0,0
completion_focal,BraTS-MET-00161-000.nii.gz,1,0,0,1,1,0,0,1,0.9402276189622726,0,1,0,0.9713074459993933,0,,,,,0,0,0,,0,0,0,0,,,,,,,,,,,1,0,0,1,1,0,0,1,0.9596959445349371,0,1,0,0.983687996942884,0,,,,,1,0,0,1,1,0,0,1,0.9062346773281031,0,2.449489742783178,0,0.7362944703272861,0,,,,
completion_focal,BraTS-MET-00162-000.nii.gz,6,3,1,0.75,4,3,0,0.7272727272727273,0.41144702253786264,0.36201353918564994,160.63106806828438,183.91747527907998,0.5426434128551602,0.4719519468647335,2,1,3,0.5,0,0,0,,0,0,0,0,,,,,,,,,,,6,3,1,0.75,4,3,0,0.7272727272727273,0.41144702253786264,0.36201353918564994,160.63106806828438,183.91747527907998,0.5426434128551602,0.4719519468647335,2,1,3,0.5,6,4,2,0.6666666666666666,4,4,1,0.6153846153846154,0.23709682827303957,0.2884208961518591,208.64727877573273,183.75745372243568,0.3375535520531814,0.3897229001655171,2,1,4,0.4444444444444444
