subject,modality,whole_SSIM,whole_MSE,tumor_SSIM,tumor_MSE,healthy_SSIM,healthy_MSE,KL
BraTS-MET-00133-000,t1n,0.22524094581604004,0.0019797817803919315,0.6749396920204163,0.0003471114032436162,0.49087071418762207,0.0007474359008483589,0.24647437036037445
BraTS-MET-00133-000,t1c,0.21136248111724854,0.0022395015694200993,0.6380789279937744,0.000826800474897027,0.45995819568634033,0.002157755894586444,0.21447281539440155
BraTS-MET-00133-000,t2w,0.22362464666366577,0.002206724602729082,0.6618805527687073,0.0014088216703385115,0.4859597682952881,0.0027444015722721815,0.27188774943351746
BraTS-MET-00133-000,t2f,0.21981149911880493,0.001946403062902391,0.6598590612411499,0.0009383776341564953,0.4771357774734497,0.000801391142886132,0.2417609691619873
BraTS-MET-00137-000,t1n,0.21308964490890503,0.002149224281311035,0.8930736780166626,0.0003276202187407762,0.4532109498977661,0.0017355976160615683,0.22049985826015472
BraTS-MET-00137-000,t1c,0.15237611532211304,0.0036247409880161285,0.5600970983505249,0.017332207411527634,0.30876922607421875,0.011560744605958462,0.2215472310781479
BraTS-MET-00137-000,t2w,0.22284358739852905,0.0022289962507784367,0.8444971442222595,0.0013885244261473417,0.47503888607025146,0.0025989809073507786,0.2662886679172516
BraTS-MET-00137-000,t2f,0.22283971309661865,0.0018999448511749506,0.8769410252571106,0.0006814163061790168,0.47245699167251587,0.0008628779323771596,0.25661906599998474
BraTS-MET-00147-000,t1n,0.22809761762619019,0.0017955072689801455,0.9536272883415222,0.0004802896291948855,0.4819710850715637,0.0005584748578257859,0.22019748389720917
BraTS-MET-00147-000,t1c,0.18158048391342163,0.0029987336602061987,0.8263192772865295,0.0018914872780442238,0.37476909160614014,0.0082258190959692,0.23325489461421967
BraTS-MET-00147-000,t2w,0.2214604616165161,0.002128665102645755,0.8948959112167358,0.0006306738359853625,0.47160959243774414,0.00185130734462291,0.2541346848011017
BraTS-MET-00147-000,t2f,0.22326791286468506,0.0018610013648867607,0.9145322442054749,0.0014725413639098406,0.47220373153686523,0.0007581994868814945,0.2467944473028183
BraTS-MET-00161-000,t1n,0.22858864068984985,0.0018508576322346926,0.8714752197265625,0.00038359389873221517,0.48957371711730957,0.0006210534484125674,0.2448943704366684
BraTS-MET-00161-000,t1c,0.17365789413452148,0.003188490867614746,0.6777571439743042,0.0034356482792645693,0.36122429370880127,0.009052826091647148,0.23141367733478546
