subject,modality,delta_whole_SSIM,delta_tumor_SSIM,delta_tumor_MSE
BraTS-MET-00129-000,t2w,0.001952826976776123,0.03512132167816162,-0.0011837215279228985
BraTS-MET-00129-000,t2f,-0.0023529529571533203,0.007150530815124512,0.0005812947056256235
BraTS-MET-00133-000,t1n,-0.0007696747779846191,0.01357179880142212,-9.027044870890677e-05
BraTS-MET-00133-000,t1c,0.0025153160095214844,0.03848886489868164,-0.0038463890086859465
BraTS-MET-00133-000,t2w,0.001806795597076416,0.022080957889556885,-0.0025675653014332056
BraTS-MET-00133-000,t2f,-0.0023382902145385742,0.007969915866851807,0.00019334052922204137
BraTS-MET-00137-000,t1n,-0.002357959747314453,0.02002817392349243,-0.0010337535932194442
BraTS-MET-00137-000,t1c,0.016479671001434326,0.1678810715675354,-0.02920529618859291
BraTS-MET-00137-000,t2w,0.0013529658317565918,0.036269545555114746,-0.001611020416021347
BraTS-MET-00137-000,t2f,0.0001494884490966797,0.02461087703704834,-0.000354762130882591
BraTS-MET-00147-000,t1n,-0.004768490791320801,0.015039622783660889,0.0001720967993605882
BraTS-MET-00147-000,t1c,0.01406329870223999,0.1443987488746643,-0.007060505449771881
BraTS-MET-00147-000,t2w,-0.00035250186920166016,0.04725128412246704,-0.001026753569021821
BraTS-MET-00147-000,t2f,-0.002029120922088623,0.03080737590789795,-0.0002495220396667719
BraTS-MET-00161-000,t1n,-0.0024451613426208496,0.020662307739257812,-0.0002701203338801861
BraTS-MET-00161-000,t1c,0.02159363031387329,0.11900472640991211,-0.008289975812658668
BraTS-MET-00161-000,t2w,0.002479851245880127,0.04937851428985596,-0.002043678192421794
BraTS-MET-00161-000,t2f,0.00011450052261352539,0.01643615961074829,-0.0002860244130715728
BraTS-MET-00162-000,t1n,-0.0007444620132446289,0.03259623050689697,0.00034502934431657195
BraTS-MET-00162-000,t1c,0.012150287628173828,0.1642412543296814,-0.025907568633556366
BraTS-MET-00162-000,t2w,-0.0018110275268554688,0.03171449899673462,-0.0020642135059460998
BraTS-MET-00162-000,t2f,-0.002322673797607422,0.02983325719833374,9.03196632862091e-06
BraTS-MET-00167-000,t1n,-0.005204379558563232,0.01423788070678711,-0.002137527510058135
BraTS-MET-00167-000,t1c,0.0008960366249084473,0.07749027013778687,-0.005964052717899904
BraTS-MET-00167-000,t2w,0.0034952759742736816,0.050728678703308105,-0.0018055886030197144
BraTS-MET-00167-000,t2f,0.0005329251289367676,0.02334415912628174,-0.0002691298723220825
BraTS-MET-00175-000,t1n,-0.0010983943939208984,0.028105556964874268,-6.54709292575717e-05
BraTS-MET-00175-000,t1c,0.007554054260253906,0.1591680645942688,-0.009232591837644577
BraTS-MET-00175-000,t2w,0.0035066604614257812,0.05654019117355347,-0.001742642023600638
BraTS-MET-00175-000,t2f,0.00035881996154785156,0.026638686656951904,-0.00047818769235163927
BraTS-MET-00180-000,t1n,-0.0050885677337646484,-0.0007346868515014648,-0.00037335455999709666
BraTS-MET-00180-000,t1c,0.002191305160522461,0.06599748134613037,-0.0022368011996150017
BraTS-MET-00180-000,t2w,-0.001491248607635498,0.01195448637008667,-0.0006224521202966571
BraTS-MET-00180-000,t2f,0.00028759241104125977,0.012983381748199463,4.5655062422156334e-05
BraTS-MET-00194-000,t1n,0.0008140802383422852,0.03193330764770508,-7.74414511397481e-05
BraTS-MET-00194-000,t1c,0.017138421535491943,0.1330074667930603,-0.004664704203605652
BraTS-MET-00194-000,t2w,0.0021843314170837402,0.050688207149505615,-0.0016246004961431026
BraTS-MET-00194-000,t2f,-0.0004283785820007324,0.020663797855377197,1.4154007658362389e-05
BraTS-MET-00195-000,t1n,-0.0035886168479919434,0.009080946445465088,-0.00016972341109067202
BraTS-MET-00195-000,t1c,0.003433823585510254,0.05536288022994995,-0.002253587357699871
BraTS-MET-00195-000,t2w,-0.00241929292678833,0.011739492416381836,-0.0004407151718623936
BraTS-MET-00195-000,t2f,-0.002049386501312256,0.007957994937896729,0.0003117709420621395
BraTS-MET-00200-000,t1n,-0.003190279006958008,0.002988278865814209,-0.0008100347768049687
BraTS-MET-00200-000,t1c,0.015007555484771729,0.08480918407440186,-0.00952546764165163
BraTS-MET-00200-000,t2w,0.004580497741699219,0.04259371757507324,-0.00337216688785702
BraTS-MET-00200-000,t2f,-0.0005458593368530273,0.009588062763214111,-1.191615592688322e-05
BraTS-MET-00202-000,t1n,-0.000762641429901123,0.015378773212432861,-8.61816224642098e-05
BraTS-MET-00202-000,t1c,0.001402139663696289,0.055046141147613525,-0.003113541752099991
BraTS-MET-00202-000,t2w,0.005779266357421875,0.07272684574127197,-0.0030412005726248026
BraTS-MET-00202-000,t2f,0.00036782026290893555,0.01833963394165039,-0.0001069472637027502
BraTS-MET-00214-000,t1n,-0.0005165934562683105,0.023706436157226562,-0.00011382496450096369
BraTS-MET-00214-000,t1c,-0.003545999526977539,0.013176143169403076,5.2990508265793324e-05
BraTS-MET-00214-000,t2w,0.002808690071105957,0.05883842706680298,-0.0022853475529700518
BraTS-MET-00214-000,t2f,0.0012810230255126953,0.06390482187271118,-0.0012688140850514174
BraTS-MET-00260-000,t1n,-0.0049607157707214355,0.019844114780426025,-0.0004826789954677224
BraTS-MET-00260-000,t1c,0.0066155195236206055,0.07311224937438965,-0.004538996145129204
BraTS-MET-00260-000,t2w,0.003735959529876709,0.04746806621551514,-0.0011760517954826355
BraTS-MET-00260-000,t2f,-0.0021792054176330566,0.04012429714202881,-7.007317617535591e-05
BraTS-MET-00264-000,t1n,-0.0025397539138793945,0.012059390544891357,-0.001047265192028135
BraTS-MET-00264-000,t1c,-0.004767179489135742,0.029728055000305176,-0.0016882647760212421
BraTS-MET-00264-000,t2w,-0.004033863544464111,0.0031666159629821777,0.0012866650940850377
BraTS-MET-00264-000,t2f,-0.0017918944358825684,0.012592017650604248,0.00031967449467629194
BraTS-MET-00268-000,t1n,-0.00036066770553588867,0.034422993659973145,-0.0002675591385923326
BraTS-MET-00268-000,t1c,0.010464310646057129,0.102283775806427,-0.006588293239474297
BraTS-MET-00268-000,t2w,0.004374444484710693,0.07619744539260864,-0.0035075603518635035
BraTS-MET-00268-000,t2f,-0.001853644847869873,0.019924700260162354,0.00021455774549394846
BraTS-MET-00292-000,t1n,-0.0009687542915344238,0.02660501003265381,-0.0001231564674526453
BraTS-MET-00292-000,t1c,-0.0015408992767333984,0.0770118236541748,-0.00436042295768857
BraTS-MET-00292-000,t2w,0.004151761531829834,0.06834125518798828,-0.0027495084796100855
BraTS-MET-00292-000,t2f,-0.0010111331939697266,0.021681606769561768,0.00022424606140702963
BraTS-MET-00299-000,t1n,-0.00301206111907959,0.012667417526245117,-0.00012179205077700317
BraTS-MET-00299-000,t1c,0.019460737705230713,0.12453049421310425,-0.012589192017912865
BraTS-MET-00299-000,t2w,-0.0010516047477722168,0.017659127712249756,-0.001038014655932784
BraTS-MET-00299-000,t2f,-0.0011811256408691406,0.018927574157714844,-0.00011399434879422188
BraTS-MET-00300-000,t1n,-0.0035381317138671875,0.008574247360229492,-1.16625742521137e-05
BraTS-MET-00300-000,t1c,0.015423059463500977,0.10549741983413696,-0.004884134978055954
BraTS-MET-00300-000,t2w,0.0033060312271118164,0.04543733596801758,-0.0015335255884565413
BraTS-MET-00300-000,t2f,0.0005346536636352539,0.016779422760009766,-0.00029973103664815426
BraTS-MET-00380-000,t1n,-0.004669070243835449,0.016171514987945557,-0.0001540725352242589
BraTS-MET-00380-000,t1c,-0.003224015235900879,0.029429912567138672,-0.003478545928373933
BraTS-MET-00380-000,t2w,-0.008253931999206543,0.0036180615425109863,-0.0005110970814712346
BraTS-MET-00380-000,t2f,-0.004895567893981934,0.013687551021575928,-0.00028820172883570194
BraTS-MET-00532-000,t1n,0.023536384105682373,0.18308496475219727,-0.010065416805446148
BraTS-MET-00532-000,t1c,0.012211382389068604,0.039687275886535645,-0.0008508823812007904
BraTS-MET-00532-000,t2w,0.0019071102142333984,0.04703187942504883,-0.005220145802013576
BraTS-MET-00532-000,t2f,-0.0021110177040100098,-8.13603401184082e-05,-0.0015041346196085215
BraTS-MET-00552-000,t1n,-0.0013577938079833984,0.03366345167160034,-0.00581025640713051
BraTS-MET-00552-000,t1c,0.009120583534240723,0.12154048681259155,-0.008425126783549786
BraTS-MET-00552-000,t2w,0.0020709633827209473,0.04593801498413086,-0.0023858839413151145
BraTS-MET-00552-000,t2f,-0.0005984306335449219,0.032063961029052734,-0.00015678559429943562
BraTS-MET-00572-000,t1n,0.0008276700973510742,0.08418720960617065,-0.004390209564007819
BraTS-MET-00572-000,t1c,0.003816664218902588,0.036453306674957275,-0.00460442528128624
BraTS-MET-00572-000,t2w,0.00850522518157959,0.1914886236190796,-0.019361340906471014
BraTS-MET-00572-000,t2f,0.0001035928726196289,0.04209083318710327,-0.0019333776435814798
BraTS-MET-00577-001,t1n,-0.01831662654876709,-0.008359014987945557,-0.0003000936994794756
BraTS-MET-00577-001,t1c,-0.014726817607879639,0.0025373101234436035,-0.001214208547025919
BraTS-MET-00577-001,t2w,-0.010287225246429443,-0.008874952793121338,-0.00028035661671310663
BraTS-MET-00577-001,t2f,-0.019572854042053223,-0.01256781816482544,-0.0005654138803947717
BraTS-MET-00613-000,t1n,-0.002524435520172119,0.061255574226379395,-0.0003181002684868872
BraTS-MET-00613-000,t1c,0.0025975704193115234,0.11314666271209717,-0.014476639218628407
BraTS-MET-00613-000,t2w,0.002259194850921631,0.11608767509460449,-0.0020299559691920877
BraTS-MET-00613-000,t2f,-0.0030524730682373047,0.06908291578292847,-0.00015728187281638384
BraTS-MET-00613-001,t1n,-0.023648321628570557,-0.012910008430480957,-0.0002718729665502906
BraTS-MET-00613-001,t1c,-0.00959312915802002,0.0064917802810668945,-0.0001888149417936802
BraTS-MET-00613-001,t2w,-0.010419964790344238,-0.008081614971160889,-0.00019894838624168187
BraTS-MET-00613-001,t2f,-0.015041887760162354,-0.006401479244232178,-0.00018168159294873476
BraTS-MET-00625-000,t1n,-0.01970076560974121,0.003817439079284668,-0.00013624444545712322
BraTS-MET-00625-000,t1c,-0.009691298007965088,0.0164678692817688,-0.0007673946674913168
BraTS-MET-00625-000,t2w,-0.004771590232849121,0.005785107612609863,-0.0003078343579545617
BraTS-MET-00625-000,t2f,-0.019467651844024658,0.011314094066619873,-0.0003282018005847931
BraTS-MET-00663-000,t1n,-0.001595616340637207,0.041272759437561035,1.1399155482649803e-05
BraTS-MET-00663-000,t1c,0.002434253692626953,0.08472990989685059,-0.008574004285037518
BraTS-MET-00663-000,t2w,0.00166398286819458,0.066683828830719,-0.009598954697139561
BraTS-MET-00663-000,t2f,0.0006378889083862305,0.07730758190155029,-0.0028448879020288587
BraTS-MET-00682-000,t1n,-0.0035818815231323242,0.026005327701568604,0.0004394801799207926
BraTS-MET-00682-000,t1c,-0.0016112923622131348,0.056743085384368896,-0.005939827533438802
BraTS-MET-00682-000,t2w,0.002290666103363037,0.07833999395370483,-0.00964563968591392
BraTS-MET-00682-000,t2f,-0.004652082920074463,0.011846482753753662,0.0010459088953211904
BraTS-MET-00699-000,t1n,-0.0014462471008300781,0.05180680751800537,0.0007230649353004992
BraTS-MET-00699-000,t1c,-0.00019186735153198242,0.06935608386993408,-0.0013875036966055632
BraTS-MET-00699-000,t2w,-0.0016597509384155273,0.022266089916229248,0.000117473304271698
BraTS-MET-00699-000,t2f,-0.0035830140113830566,0.009522855281829834,0.0012739480007439852
BraTS-MET-00787-000,t1n,0.00038188695907592773,0.05254405736923218,-0.0006465686019510031
BraTS-MET-00787-000,t1c,0.008358955383300781,0.15779078006744385,-0.018322102434467524
BraTS-MET-00787-000,t2w,-0.005994915962219238,0.03730589151382446,-0.0014416341437026858
BraTS-MET-00787-000,t2f,-0.0004258155822753906,0.05477684736251831,-0.0012328663142398
BraTS-MET-00791-000,t1n,-0.004568159580230713,0.034460484981536865,-0.001233997754752636
BraTS-MET-00791-000,t1c,0.01050269603729248,0.11014676094055176,-0.0025398462312296033
BraTS-MET-00791-000,t2w,-0.0033996105194091797,0.03737139701843262,-0.001373412786051631
BraTS-MET-00791-000,t2f,-0.005314528942108154,0.02335411310195923,-0.0013563877437263727
BraTS-MET-00796-000,t1n,-0.004968047142028809,0.023227274417877197,-0.0007436325831804425
BraTS-MET-00796-000,t1c,0.008051395416259766,0.10134333372116089,-0.00785090180579573
BraTS-MET-00796-000,t2w,-0.003234267234802246,0.036293864250183105,-0.0020963308634236455
BraTS-MET-00796-000,t2f,0.0017529129981994629,0.04897022247314453,-0.0011473039630800486
BraTS-MET-00799-000,t1n,-0.004939734935760498,0.020804286003112793,-0.0007795046549290419
BraTS-MET-00799-000,t1c,0.018385469913482666,0.17314153909683228,-0.014128515496850014
BraTS-MET-00799-000,t2w,-0.0025641918182373047,0.025892138481140137,-0.001207421999424696
BraTS-MET-00799-000,t2f,-0.0007649660110473633,0.03354310989379883,-0.0006913248216733336
BraTS-MET-00807-000,t1n,-0.0015857219696044922,0.012434661388397217,-0.002352748648263514
BraTS-MET-00807-000,t1c,0.019576668739318848,0.11025363206863403,-0.006766222417354584
BraTS-MET-00807-000,t2w,-0.004283785820007324,0.00949329137802124,-0.002614266180898994
BraTS-MET-00807-000,t2f,-0.004979491233825684,0.009687721729278564,-0.0008327576797455549
BraTS-MET-01058-001,t1n,-0.006504058837890625,0.01512676477432251,-2.3027881979942322e-05
BraTS-MET-01058-001,t1c,-0.0020698904991149902,0.028697311878204346,-0.002427717321552336
BraTS-MET-01058-001,t2w,-0.0062441229820251465,0.00569307804107666,-0.0009941466269083321
BraTS-MET-01058-001,t2f,-0.012456178665161133,0.017987549304962158,-0.0005281050107441843
BraTS-MET-01060-001,t1n,-0.0017108321189880371,0.03480416536331177,-0.00029025923868175596
BraTS-MET-01060-001,t1c,0.008812487125396729,0.13475549221038818,-0.004972030408680439
BraTS-MET-01060-001,t2w,-0.0028221607208251953,0.023299813270568848,-0.0007398782181553543
BraTS-MET-01060-001,t2f,-0.0029546022415161133,0.02978801727294922,0.0003146688686683774
BraTS-MET-01096-000,t1n,0.01682060956954956,0.2720233201980591,-0.02005330892279744
BraTS-MET-01096-000,t1c,0.021201014518737793,0.6848341822624207,-0.056752635166049004
BraTS-MET-01096-000,t2w,0.0008045434951782227,0.1442720890045166,-0.012556183617562056
BraTS-MET-01096-000,t2f,-0.0021215081214904785,0.060269296169281006,-0.0017004443798214197
BraTS-MET-01096-001,t1n,-0.003391444683074951,0.055391669273376465,-4.844361683353782e-05
BraTS-MET-01096-001,t1c,0.015122652053833008,0.32172316312789917,-0.02778743952512741
BraTS-MET-01096-001,t2w,-0.001273036003112793,0.12249797582626343,-0.011379034433048218
