subject,modality,whole_SSIM,whole_MSE,tumor_SSIM,tumor_MSE,healthy_SSIM,healthy_MSE,KL
BraTS-MET-01117-002,t2w,0.8285609483718872,0.0010102420346811414,0.9703006148338318,0.0008472702465951443,0.8285609483718872,0.0006648374837823212,0.9325928092002869
BraTS-MET-01117-002,t2f,0.8664923906326294,0.0005173797253519297,0.9701527953147888,4.232336868881248e-05,0.8664923906326294,0.00015604810323566198,0.9145137667655945
BraTS-MET-01117-003,t1n,0.8687117099761963,0.00036081206053495407,0.8687117099761963,0.00036081206053495407,0.8687117099761963,0.00021840204135514796,0.8387530446052551
BraTS-MET-01117-003,t1c,0.8091715574264526,0.0008102537831291556,0.8091715574264526,0.0008102537831291556,0.8091715574264526,0.0007497640908695757,0.8969069719314575
BraTS-MET-01117-003,t2w,0.8270827531814575,0.0010068826377391815,0.8270827531814575,0.0010068826377391815,0.8270827531814575,0.0006626980029977858,0.927107036113739
BraTS-MET-01117-003,t2f,0.868841826915741,0.00028820717125199735,0.868841826915741,0.00028820717125199735,0.868841826915741,0.00015570192772429436,0.8854416012763977
BraTS-MET-01119-000,t1n,0.7688549757003784,0.0004495411994867027,0.974815309047699,0.00011147269106004387,0.7688549757003784,0.0002614586555864662,0.7251546382904053
BraTS-MET-01119-000,t1c,0.721397876739502,0.001016695168800652,0.8966363668441772,0.00026966919540427625,0.721397876739502,0.0010426741791889071,0.7624780535697937
BraTS-MET-01119-000,t2w,0.7165423035621643,0.0013087599072605371,0.952144205570221,0.00099099928047508,0.7165423035621643,0.0009665517136454582,0.7883646488189697
BraTS-MET-01119-000,t2f,0.7618715167045593,0.000414602633100003,0.9696033596992493,0.0003275750786997378,0.7618715167045593,0.00020438125648070127,0.7726256847381592
BraTS-MET-01119-001,t1n,0.7909293174743652,0.00042313538142479956,0.9639114141464233,0.0002433221525279805,0.7909293174743652,0.0002655863936524838,0.7423073053359985
BraTS-MET-01119-001,t1c,0.7169275283813477,0.0012943230103701353,0.8986865878105164,0.0009817811660468578,0.7169275283813477,0.0012539008166640997,0.7778646349906921
BraTS-MET-01119-001,t2w,0.7204301953315735,0.0012311150785535574,0.9469369053840637,0.0006865380564704537,0.7204301953315735,0.000731673848349601,0.7732701301574707
BraTS-MET-01119-001,t2f,0.7616141438484192,0.0006082862382754683,0.9705596566200256,0.00016553132445551455,0.7616141438484192,0.00019031018018722534,0.8029156923294067
BraTS-MET-01119-003,t1n,0.8008226156234741,0.0004307218478061259,0.9605791568756104,0.00018342866678722203,0.8008226156234741,0.00037262204568833113,0.733132541179657
BraTS-MET-01119-003,t1c,0.7315500378608704,0.001113644801080227,0.916408896446228,0.0008105155429802835,0.7315500378608704,0.0009915282716974616,0.7748781442642212
BraTS-MET-01119-003,t2w,0.722317099571228,0.001279345597140491,0.9415723085403442,0.0007290472858585417,0.722317099571228,0.0007935489411465824,0.7843082547187805
BraTS-MET-01119-003,t2f,0.7663841247558594,0.0006413937662728131,0.9650998711585999,0.00018424908921588212,0.7663841247558594,0.00020252072135917842,0.8105388879776001
BraTS-MET-01134-000,t1n,0.17964410781860352,0.0018167507369071245,0.8330973982810974,0.0005300240591168404,0.47144830226898193,0.0009816770907491446,0.18808436393737793
BraTS-MET-01134-000,t1c,0.1173129677772522,0.004760703071951866,0.195262610912323,0.057294540107250214,0.2714899778366089,0.02874249592423439,0.17738781869411469
BraTS-MET-01134-000,t2w,0.15965908765792847,0.0031225120183080435,0.5783118605613708,0.023764777928590775,0.4115169048309326,0.012507162056863308,0.2019088715314865
BraTS-MET-01134-000,t2f,0.1689060926437378,0.0019338764250278473,0.7975780367851257,0.0014132034266367555,0.4385911226272583,0.0019841475877910852,0.19425037503242493
BraTS-MET-01134-003,t1n,0.1737813949584961,0.0021322472020983696,0.6832471489906311,0.0032749029342085123,0.46675407886505127,0.0031643055845052004,0.19171608984470367
BraTS-MET-01134-003,t1c,0.09987533092498779,0.004979525227099657,0.11280268430709839,0.042851466685533524,0.21444308757781982,0.032011110335588455,0.18179231882095337
BraTS-MET-01134-003,t2w,0.16571170091629028,0.0030664282385259867,0.6642643213272095,0.03034391440451145,0.44042253494262695,0.011941380798816681,0.19424386322498322
BraTS-MET-01134-003,t2f,0.16682696342468262,0.002437111223116517,0.6966791152954102,0.0023404895327985287,0.44105005264282227,0.0066727884113788605,0.2010297328233719
BraTS-MET-01149-000,t1n,0.8064671754837036,0.0006992538110353053,0.9200236797332764,0.0005377086345106363,0.8064671754837036,0.00042107218177989125,0.976500928401947
BraTS-MET-01149-000,t1c,0.7812277674674988,0.0009037962881848216,0.8858195543289185,0.0011422252282500267,0.7812277674674988,0.0008895091596059501,0.9276466369628906
BraTS-MET-01149-000,t2w,0.7969024777412415,0.0010038148611783981,0.925213098526001,0.0002786987170111388,0.7969024777412415,0.0008728812099434435,0.8619613647460938
BraTS-MET-01149-000,t2f,0.7798256278038025,0.0008768743718974292,0.9006339907646179,0.0003572438145056367,0.7798256278038025,0.0006874436512589455,0.9974331259727478
BraTS-MET-01149-001,t1n,0.823032796382904,0.0004115062183700502,0.9656223654747009,0.0001076588814612478,0.823032796382904,0.00018180818005930632,0.8050751090049744
BraTS-MET-01149-001,t1c,0.8241974711418152,0.0008213111432269216,0.9341937899589539,0.0010692098876461387,0.8241974711418152,0.0008460471290163696,0.8467470407485962
BraTS-MET-01149-001,t2w,0.7756204009056091,0.0010032595600932837,0.9470271468162537,0.0004617609374690801,0.7756204009056091,0.0007232461939565837,0.8665334582328796
BraTS-MET-01149-001,t2f,0.7838567495346069,0.0009952436666935682,0.9506708979606628,0.00019642210099846125,0.7838567495346069,0.0003413847298361361,0.857026994228363
BraTS-MET-01172-001,t1n,0.2074618935585022,0.0018997157458215952,0.778766930103302,0.0013412113767117262,0.4642902612686157,0.0013439009198918939,0.2162419855594635
BraTS-MET-01172-001,t1c,0.12982070446014404,0.006139354780316353,0.36662185192108154,0.03390343487262726,0.25706946849823,0.03089684434235096,0.2192971259355545
BraTS-MET-01172-001,t2w,0.20584118366241455,0.00253710406832397,0.7277597188949585,0.003109324723482132,0.4563814401626587,0.00621931254863739,0.2438896745443344
BraTS-MET-01172-001,t2f,0.20878440141677856,0.0020524354185909033,0.7689428329467773,0.0016917589819058776,0.46744799613952637,0.0023126096930354834,0.2313891500234604
BraTS-MET-01172-002,t1n,0.20866167545318604,0.0018054781248793006,0.7264052033424377,0.0008294814615510404,0.4596750736236572,0.0010423703351989388,0.22668805718421936
BraTS-MET-01172-002,t1c,0.13679081201553345,0.005890050902962685,0.35237324237823486,0.017374491319060326,0.2734842896461487,0.029089875519275665,0.22534452378749847
BraTS-MET-01172-002,t2w,0.21664190292358398,0.0024381934199482203,0.7486721873283386,0.0050056092441082,0.48030638694763184,0.005337536334991455,0.2533327043056488
BraTS-MET-01172-002,t2f,0.20989751815795898,0.001875408343039453,0.7293645143508911,0.002036835765466094,0.4615035057067871,0.0016900507034733891,0.2435603141784668
BraTS-MET-01172-004,t1n,0.2194349765777588,0.001757912919856608,0.7493493556976318,0.0006585995433852077,0.4875025749206543,0.0011725184740498662,0.23300676047801971
BraTS-MET-01172-004,t1c,0.12522709369659424,0.004408969543874264,0.28947240114212036,0.013357914052903652,0.2401767373085022,0.020300833508372307,0.21984265744686127
BraTS-MET-01172-004,t2w,0.21249085664749146,0.002474928740411997,0.6821976900100708,0.0031028480734676123,0.47194069623947144,0.0055943867191672325,0.25106021761894226
BraTS-MET-01172-004,t2f,0.20671486854553223,0.0019246113952249289,0.6756225228309631,0.00235312944278121,0.45584726333618164,0.0021376286167651415,0.23948271572589874
BraTS-MET-01180-000,t1n,0.20214134454727173,0.001805939362384379,0.7780424356460571,0.0010366992792114615,0.4749718904495239,0.001269447966478765,0.2380169928073883
BraTS-MET-01180-000,t1c,0.1726982593536377,0.004629594273865223,0.5306658744812012,0.029285892844200134,0.40077686309814453,0.019734488800168037,0.2218208760023117
BraTS-MET-01180-000,t2w,0.19439697265625,0.0025906141381710768,0.8003512620925903,0.006027321331202984,0.45769035816192627,0.006335881073027849,0.23701679706573486
BraTS-MET-01180-000,t2f,0.19820547103881836,0.001959406305104494,0.8314352035522461,0.0022763232700526714,0.46934354305267334,0.001777838682755828,0.2258015125989914
BraTS-MET-01180-003,t1n,0.20470255613327026,0.001794015639461577,0.8331778049468994,0.0012078321306034923,0.48377513885498047,0.0009263118845410645,0.22587350010871887
BraTS-MET-01180-003,t1c,0.14848923683166504,0.006095014978200197,0.4399290084838867,0.019078997895121574,0.3295661211013794,0.030636323615908623,0.22416961193084717
BraTS-MET-01180-003,t2w,0.19408494234085083,0.0025992889422923326,0.7524971961975098,0.006261078640818596,0.45803260803222656,0.006115551572293043,0.2368629425764084
BraTS-MET-01180-003,t2f,0.19744032621383667,0.0019458101596683264,0.7791168093681335,0.0030880479607731104,0.46588194370269775,0.0016853176057338715,0.2297607958316803
BraTS-MET-01181-001,t1n,0.2690565586090088,0.0016876105219125748,0.8366201519966125,0.0004501430958043784,0.575635552406311,0.000684478844050318,0.2758615016937256
BraTS-MET-01181-001,t1c,0.16563314199447632,0.004865595139563084,0.3861927390098572,0.010087462142109871,0.3327209949493408,0.01646874099969864,0.27956709265708923
BraTS-MET-01181-001,t2w,0.26433229446411133,0.0021112211979925632,0.8125753998756409,0.0011942419223487377,0.5684979557991028,0.00240142154507339,0.29355764389038086
BraTS-MET-01181-001,t2f,0.2721407413482666,0.0017918290104717016,0.8321759700775146,0.0008550541242584586,0.5831186771392822,0.0014023258117958903,0.2809584140777588
BraTS-MET-01181-002,t1n,0.23962676525115967,0.002680984791368246,0.7109779119491577,0.003361965762451291,0.517906129360199,0.002359329955652356,0.27473685145378113
