method_a,method_b,metric,primary_endpoint,direction,aggregate_mean_a,aggregate_mean_b,paired_complete_case_count,excluded_nonfinite_pair_count,bootstrap_replicates,seed,status,raw_mean_a_minus_b,benefit_mean_a_over_b,benefit_ci95_low,benefit_ci95_high,bootstrap_probability_a_better,bootstrap_probability_b_better,paired_two_sided_bootstrap_p,paired_effect_dz,wins_a,ties,wins_b
E,FixV3,all_instance_fp_tc,False,lower_is_better,0.6116504854368932,0.5339805825242718,103,0,20000,20260824,available,0.07766990291262135,-0.07766990291262135,-0.22330097087378642,0.06796116504854369,0.1304,0.84125,0.3175,-0.10355658496915399,9,78,16
E,FixV3,all_instance_fn_tc,False,lower_is_better,3.3592233009708736,3.349514563106796,103,0,20000,20260824,available,0.009708737864077669,-0.009708737864077669,-0.1650485436893204,0.1262135922330097,0.4259,0.5201,0.9598,-0.012988602408550903,13,81,9
E,FixV3,all_instance_f1_tc,True,higher_is_better,0.7264705646372565,0.7343544898426767,94,9,20000,20260824,available,0.007572895318776761,0.007572895318776761,-0.024481824941039204,0.04359165764936708,0.65865,0.34135,0.6827,0.04460565088125638,18,57,19
E,FixV3,large_instance_tp_tc,False,higher_is_better,3.1067961165048543,3.1650485436893203,103,0,20000,20260824,available,-0.05825242718446602,-0.05825242718446602,-0.14563106796116504,0.019417475728155338,0.06445,0.89875,0.2025,-0.13271727922165452,2,94,7
E,FixV3,large_instance_fp_tc,False,lower_is_better,0.6116504854368932,0.5339805825242718,103,0,20000,20260824,available,0.07766990291262135,-0.07766990291262135,-0.21359223300970873,0.06796116504854369,0.1323,0.8387,0.3226,-0.10355658496915399,9,78,16
E,FixV3,large_instance_fn_tc,False,lower_is_better,0.941747572815534,0.883495145631068,103,0,20000,20260824,available,0.05825242718446602,-0.05825242718446602,-0.14563106796116504,0.019417475728155338,0.0649,0.89845,0.2031,-0.13271727922165452,2,94,7
E,FixV3,large_instance_f1_tc,True,higher_is_better,0.703130493752786,0.710677995162252,103,0,20000,20260824,available,-0.007547501409465991,-0.007547501409465991,-0.03584137600197387,0.023342220910026443,0.29405,0.70595,0.5881,-0.048761826949211974,8,77,18
E,FixV3,lesionwise_dsc_mean_tc,True,higher_is_better,0.6577153471756588,0.6769630525530438,86,17,20000,20260824,available,-0.01924770537738517,-0.01924770537738517,-0.05094668197383444,0.012975876869742116,0.1132,0.8868,0.2264,-0.12840408622190075,29,2,55
E,FixV3,lesionwise_dsc_std_tc,False,lower_is_better,0.16913358856692276,0.15587068300010476,86,17,20000,20260824,available,0.013262905566817985,-0.013262905566817985,-0.03927330976886593,0.01251424370321083,0.1536,0.8464,0.3072,-0.10818810474894947,31,30,25
E,FixV3,lesionwise_hd95_mean_tc,True,lower_is_better,72.11288625989094,66.08275522584375,86,17,20000,20260824,available,6.030131034047198,-6.030131034047198,-20.990239750959415,9.871970670698525,0.2171,0.7829,0.4342,-0.08305970094344055,22,28,36
E,FixV3,lesionwise_hd95_std_tc,False,lower_is_better,70.06829929932026,62.89567975961407,86,17,20000,20260824,available,7.17261953970619,-7.17261953970619,-20.66437847149403,5.9998763458611,0.1405,0.8595,0.281,-0.11404991465529679,26,42,18
E,FixV3,lesionwise_nsd_mean_tc,True,higher_is_better,0.7073413432582975,0.7318872473601146,86,17,20000,20260824,available,-0.02454590410181709,-0.02454590410181709,-0.05592806665985299,0.007170308234608899,0.06295,0.93705,0.1259,-0.16395293078006948,27,9,50
E,FixV3,lesionwise_nsd_std_tc,False,lower_is_better,0.18051864882539623,0.16865639868939278,86,17,20000,20260824,available,0.011862250136003468,-0.011862250136003468,-0.039234698146981745,0.015319176355998356,0.19555,0.80445,0.3911,-0.09110777047464715,28,32,26
E,FixV3,small_instance_tp_tc,False,higher_is_better,1.5510204081632653,1.469387755102041,49,54,20000,20260824,available,0.08163265306122448,0.08163265306122448,-0.10204081632653061,0.2857142857142857,0.7586,0.1771,0.4828,0.11623945776356748,8,36,5
E,FixV3,small_instance_fn_tc,False,lower_is_better,5.3061224489795915,5.387755102040816,49,54,20000,20260824,available,-0.08163265306122448,0.08163265306122448,-0.10204081632653061,0.2857142857142857,0.76045,0.1753,0.4791,0.11623945776356748,8,36,5
